,Text,target
0,polis tangkap,NonCyberbully
1,kenapa lokasi kebakaran terlalu spesifik,NonCyberbully
2,menyesal for birthday,NonCyberbully
3,meriah tah,NonCyberbully
4,asal bs kelar kerja jam sik kl baru diajak meeting jam kelar jam mah bye,NonCyberbully
5,hmmm minta dorang pasang pencawang phone sekali asyik emergency call,NonCyberbully
6,tinggal barang uninstall shopee,NonCyberbully
7,juta,NonCyberbully
8,assalamualaikum yb are you coming down to parit yusof my grandparents kat rasanya daftar vaksin they dont have smartphones please help,NonCyberbully
9,terengganu tumbang,NonCyberbully
10,capek,NonCyberbully
11,kau pancitkan kereta kenapa kau xtegur senior tagcall da lol pukik,Cyberbully
12,pande tetak indah maca duak menyuweet bepantun comment duak sikda ws kah mun sikda ws pake ws lok kedong sik make,Cyberbully
13,patutlah jodoh lambat ah lantak,Cyberbully
14,cultural appropriation tuhan kasi konek negro,NonCyberbully
15,suruh tangkap gambar tengok dulu belah laaa adeiiii,NonCyberbully
16,dahlah interface hauk content limited cruella bengang,NonCyberbully
17,rehat bangun is better i think,NonCyberbully
18,macam lumrah hidup survive kena kerja fuhh weekend hari siak cutinya,NonCyberbully
19,penat kepala otak,NonCyberbully
20,fak tiru,NonCyberbully
21,solidariti penghasut,NonCyberbully
22,masa kes kematian dorang berpuluh ribu sehari kes active baru seratus dua dorang payah,NonCyberbully
23,li isnt relevan,NonCyberbully
24,tunggang bang minyak murah katanya golongan kayangan nie murah murah cukai mahai ha,NonCyberbully
25,kata vellfire kep tetamu sada kenderaan milik sada kenapa plate tulis menteri besar kedah masalah ayaq kat kedah selesai mb bermewah kenderaan baru,NonCyberbully
26,laptop pulak alahai berat macam lori baling koma bang jamal,Cyberbully
27,confim flop masuk epl x yah,NonCyberbully
28,geram ek baca komen kt page malaysia embassy kt sgp kerajaan da bantu bahagi extension tahun nk komplen lg defakkk,Cyberbully
29,move on malas nk fikir panjang,NonCyberbully
30,betul kak asal kelantan bising macam negeri terpaling suci buat dosa,Cyberbully
31,lgbt kena perang,NonCyberbully
32,syed saddiq tuntut kerajaan strukturkan sistem percukaian masa pandemik kaya terus kaya tambahkan aset personal income realitinya muar ramai hilang kerja hilang kerja kena potong gaji,Cyberbully
33,ramai tahu betapa benci mp larut dsai semenjak an,Cyberbully
34,babi rt tweet masuk timeline semak babi,Cyberbully
35,setan ahahahah,NonCyberbully
36,fuhhhhhh rogol ey,NonCyberbully
37,jaga hati org hbis hati sapa mok jaga kimakkk,NonCyberbully
38,asyik tidur lambat bangun awal betul otak,NonCyberbully
39,driver taman medan gila siut,NonCyberbully
40,regional asia tenggara ngerinya mba muk,NonCyberbully
41,menggigil bodo typing,NonCyberbully
42,skechers buat sales campak phone,Cyberbully
43,tachiyomi update semalam harini,NonCyberbully
44,peram parcel dekat pendang semalam gerak,NonCyberbully
45,kenapa pulak potong bekalan air,NonCyberbully
46,kadang kadang rasa hina and keji manusia,NonCyberbully
47,dap dr kemboja india,NonCyberbully
48,sumpah tolol ih,NonCyberbully
49,innalillahiwainna ilai hirojiun salam takziah,NonCyberbully
50,makin meresahkan prof muhaya,NonCyberbully
51,avoid persiaran kuala selangor shah alam youll be stuck m longer than usual,NonCyberbully
52,takut betul eh buat kau confirm kena kecam theres always people get your c,NonCyberbully
53,dasar populist si saddiq terang tmj tolong rakyat johor johor susa,Cyberbully
54,cissa terlepas tengok moto gp,NonCyberbully
55,mental mandul,NonCyberbully
56,cemtu weh amir reject akuuu,NonCyberbully
57,pergi geng memc was was hurmm abam iskandar penyelamat makan subang ria,NonCyberbully
58,uish kau tengok si adam nganjing kuat tolong back up sis,NonCyberbully
59,yeah hbis dikecewain,NonCyberbully
60,takkan maafkan ye org kena mengena prn sabah mati takkan maafkan,NonCyberbully
61,kau sedih critic hidup muka buruk bau kepam,Cyberbully
62,syarat kelayakan mb kedah minat janda minat hutan dara minat gadis rewang memesongkan haluan sungai kenal jenis pokok balak pandai cosplay syarat kelebihan kena punyai kenderaan digunakan survey kawasan balak,NonCyberbully
63,harap anti vacc tengok video cannot imaging if this is one of our family covid is not a joke please stay safe amp follow sop we can fight this together semoga sembuhkan dijangkiti amp hilangkan virus muka bumi,Cyberbully
64,sebulan jumpa nenek satu family kene covid,NonCyberbully
65,kenapalah i,NonCyberbully
66,kote bharu,NonCyberbully
67,takut ibu,NonCyberbully
68,baru mengelabah hahaha,Cyberbully
69,rehat lansung asyik maki korang bodo bodo dibuat,NonCyberbully
70,pc tengok hari luak deh,NonCyberbully
71,bebas berkeliaran,NonCyberbully
72,makin buruk adaaa,NonCyberbully
73,rasa mau pijak muka mampu berimaginasi,NonCyberbully
74,jgn lupa u janji bawak i balik kampung tapiiii alahaiii covid covid,NonCyberbully
75,dasar jackal islam kerongkongan mulutnya via jempol semburkan kebohongan dusta henti,Cyberbully
76,mau letak jawatan,NonCyberbully
77,rimas gila customer macam awak place booking gitau process refund makan masa pastu hari,Cyberbully
78,adui lambat,NonCyberbully
79,lepas prof muhaya kena kecam free lasik mata kat netizen i buat lasik,NonCyberbully
80,beza project tasik chini psi disana tebuk tanah tebang pokok gali tanah disini tambak t,NonCyberbully
81,ntahlah kehidupan bosan,NonCyberbully
82,hentam pas hentam parti sains hentam kedua sekali,Cyberbully
83,penat mental penat emosi sekian,NonCyberbully
84,macam tauu diri gaji tk happy tau kekadang perasan gaji laki ka,Cyberbully
85,sebabkan org bangsat macam kau pas jahanam sebangsat bangsat manusia,Cyberbully
86,rt ramai biar satu malaysia tahu hutan malaysia,Cyberbully
87,bet k menang bodoh,Cyberbully
88,dasar hingusan,Cyberbully
89,grup mau berpura pura penyebab hancurnya ekonomi indonesia dipikir warga indonesia anak tk,NonCyberbully
90,local terengganu kali postpone tiket and penang again international,NonCyberbully
91,macam bab,Cyberbully
92,penat mimpi berlari turun naik tangga n so on bangun letih macam baru habis senam half sedar,NonCyberbully
93,degil mengalahkan buluh betong buat iklan macam siap letak mati,Cyberbully
94,tercarut,NonCyberbully
95,si azfar buat kat rosaklah seni tanah air tah pape juri,Cyberbully
96,korang ingat filem babe kisah babi duk kat bandar realiti kemarahan penang mengikut kajian,Cyberbully
97,pehtu jogging kena balik jerantut dulu keeeee macam manaaaaa,NonCyberbully
98,baru kau tau naz bilang sabah kau rasa oren si sara tawar hati kau padan muka kau,Cyberbully
99,berpura pura tersenyum reti nk berpura pura bahagia,Cyberbully
100,pulak salah hantar document,Cyberbully
101,rizalman contoh terbaik istijraj istijraj pemberian nikmat manusia pemberian diredhai,NonCyberbully
102,tunggu mukhlis baca harapnya bacakan hahah,NonCyberbully
103,sorang betul haha eh yeke innalilahiwainnailaihirajiun,Cyberbully
104,takkan kerja buat saringan us,Cyberbully
105,timeline hari dibanjiri perkataan bodoh,Cyberbully
106,kenapa kene wish birthday function ntah,NonCyberbully
107,kali jgn saman membabi buta,NonCyberbully
108,kenapa pulau pinang kelmarin,NonCyberbully
109,nong macam hang tahu depa pakai underwear ahsjdjdldlf,Cyberbully
110,kelantan no wonder,NonCyberbully
111,bukti pas tahu benda anggap liberal komunis pemahaman politik,Cyberbully
112,gelisah saat tidur gelisah saat bangun pengangguran kalo bangun pan bingung yak mau ngapain,NonCyberbully
113,setuju setuju jugak tolong cepatkan vaksin kat daftar kat mysejahtera penat,NonCyberbully
114,i perlukan runner area sabak bernam urgent family barang makan please please please tolong sebarkan kot kot nampak amp tolong hantar barang dm me,Cyberbully
115,tengah alami masalah waktu tengah syok shopping sale dekat shopee rupanya guna shipping j amp t pakai alamat gombak adehhh,Cyberbully
116,mao ngomong kasar gak sik,NonCyberbully
117,teruknya fans mexico baling barang masuk padang,Cyberbully
118,lamak na brang poslaju kuching mok sampey bintulu hari gerak dri klia sampey poslaju btu,NonCyberbully
119,buka jawatan diam membisu,NonCyberbully
120,haha bento boxes okay jelah haram jadah selangor dok buat hype kata sedap,NonCyberbully
121,ah hahahha rakyat percaya,NonCyberbully
122,masuk ipta kene ngaku melayu,Cyberbully
123,tutorial cara mengikhlaskan dong,NonCyberbully
124,baru tahu naga,NonCyberbully
125,yo lubang pagi tadi amp semalam punyo kerja kerja sepek,Cyberbully
126,baginda berharap jkjabv mempercepat menambah bilangan dos vaksin rakyat negeri selangor baginda terkejut disahkan citf jun selangor menerima sejumlah dos vaksin covid juta dos spt didakwa,NonCyberbully
127,msalahx nggk mau peronjang msa iya mau gratis mau minta naik gji x lipat,Cyberbully
128,satu keanehan si iktiraf ulama kata ulama berhala moden iktiraf lantikan soalan dilantik macam tahu dilantik surat pekeliling confirm nabi s a w,NonCyberbully
129,pahang pulak ramai ramai hentam kasa tuh beruk,Cyberbully
130,sengaja buat macam,Cyberbully
131,kawasan rumah sorang hamba tuhan meninggal hari jiran baru sedar sbb bau busuk tegur jiran eh time pkp nie,NonCyberbully
132,setiausaha politik menteri besar kedah muhammad sanusi md noor pagi dilihat terus koyak berhubung dakwaan pel,Cyberbully
133,bebudak dibendung makin lak main tiktok,NonCyberbully
134,keadilan sukar buat terutama beristeri dua,Cyberbully
135,peruntukkan parlimen muar lama kena tarik putera istana tanah ujung berhenti hentam si syed saddiq,NonCyberbully
136,pagi bangun tidur rasa macam aaaa lama kena hidup mcmni,NonCyberbully
137,isu daerah ampang gombak drp dulu susah settle sbb kat sempadan negeri macam skolah melawati kadet polis masuk daerah ampang kl gombak selangor haha,NonCyberbully
138,nk some macam area shah alam port meh dm wechat top bisex,Cyberbully
139,cek fakta dana haji pemerintah dana haji aman,NonCyberbully
140,time malam buka tiktok mesti tetiba muncul live iqramdinzly what a nightmareeee,NonCyberbully
141,habis baju takkan kembang setaman,NonCyberbully
142,bagusnya luas mata memandang kan pahang kan,Cyberbully
143,gabole berlarut larut,Cyberbully
144,taekook onetweet gila pabrik batu,NonCyberbully
145,linda mahyudin awak makan taik ka time sarapan,Cyberbully
146,nope hell naw but i dont mind jodoh at least common sense takdak pening oi,Cyberbully
147,dana haji aman,NonCyberbully
148,jijik taw,NonCyberbully
149,rasa terpaling hebat galak kena kat kelantan,NonCyberbully
150,tahniah diva aa wakilakn makisbb berani nk buat,Cyberbully
151,kenapa artis artis kat meletop selamba cerita balik kampung time raya balik kan pening balik ipoh balik kelantan,NonCyberbully
152,gofar hilman sik,NonCyberbully
153,marah betul selangor erk,NonCyberbully
154,helo bomba org terajang,NonCyberbully
155,asal tmj pasal selangor tam pamham amkum,NonCyberbully
156,baik jahat darimana sik,NonCyberbully
157,haha kelakar dengar kata selangor kelab terbesar haha yes right now,NonCyberbully
158,teresak,NonCyberbully
159,netizen please buat macam,Cyberbully
160,rilek lar bf kau kawen pmpn masalahnya kau ingat cinta kau jannah,Cyberbully
161,abam sasa kedah badan sedap best hisap kote,NonCyberbully
162,sabah terapisi,NonCyberbully
163,diorang reti baca terang pakai vest press,NonCyberbully
164,surau masjid mengandungi perpustakaan surau masjid sek,NonCyberbully
165,kadang boring,NonCyberbully
166,ye mai anis masukkan batu hidung kena gi hospital hdhahahdhahhshahs,NonCyberbully
167,twitter spaces bermanfaat,Cyberbully
168,kena tukaqla nt no more pearl of the orient penang darul kondo,NonCyberbully
169,block unblock teruihh relax minah,NonCyberbully
170,menunggu vaksin menunggu jodoh kunjung tiba,NonCyberbully
171,of cos i team minum kuasa i perah buah semata dpt mg vitamin c siap perisa masa,NonCyberbully
172,netizen sayu lihat feri ikonik pulau pinang dibiar tenggelam sungai perai,NonCyberbully
173,simbol sinonim kesultanan melayu melaka pelanduk pokok melaka,Cyberbully
174,hujung tahun banjir kau tunggu rancangan masak datang bawa cupcake,NonCyberbully
175,burung gagak biar takut,NonCyberbully
176,selamat malam dunia tipu,NonCyberbully
177,omg gigi berlobang niii tau lama berlubang,NonCyberbully
178,report tah start buat,Cyberbully
179,knn kot tau terlupa letak spender kt hhahah,NonCyberbully
180,kau pikir halim dua tiga hari cam tenteram,NonCyberbully
181,siap buang sungai besar,Cyberbully
182,harammmm betul perangai,Cyberbully
183,once is a mistake twice is neglect thrice its enemy action terlalu kerap insiden bilik rekod jenayah terbakar mungkin kerajaan upgrade kesemuanya versi digital distributed storage multi sandaran mengelakkan keresahan ramai,Cyberbully
184,i marah ahli menteri ramai i nampak ramai dengki berkianat sesama politik m,Cyberbully
185,bersatu kedudukan pengaruh boo,NonCyberbully
186,nkri harga mati restorasi indonesia,Cyberbully
187,berpunca tangan mengundi,Cyberbully
188,habiskan first dose dulu org kampung kabor lama dieorg malas,NonCyberbully
189,maksudnya lubang belakang,NonCyberbully
190,lupa caranya mungkin terlalu nikmat,NonCyberbully
191,buat bodoh bodoh or bodoh bodoh,Cyberbully
192,puas cari org pasang aircond payah betulllll,NonCyberbully
193,push harder than yesterday lari paksa diri namanya muka lepas lari x ikhlas ok km area rumah,NonCyberbully
194,alamakkkk kat sedap macam pening apis nk cari kang,NonCyberbully
195,remote c melaka panas,NonCyberbully
196,dok ijn lama sikit,NonCyberbully
197,please someone give mat sabu microphones baling sebiji kat kepala ahli kabinet,Cyberbully
198,israel paham bahasa kedah tobat koyak kena maki,NonCyberbully
199,line celcom dekat rembau nii macam anjirr ye slow nk mampuihhh,Cyberbully
200,untungnya kedah mb macam kah kah kah,Cyberbully
201,cringe betul,Cyberbully
202,batu senku overthinking tidur,NonCyberbully
203,tolonglahh pdpr kat sekolah control tiber pulak program penaatt rasanya penat bersemuka,NonCyberbully
204,betul syu salah makan first time kan so bilas syu makan masin tersedak hahahaha sedap m,Cyberbully
205,jiaahhhh cara licik kom s benturkan agama pancasila gagal benturkan antar agama bangkeluu ndroo,NonCyberbully
206,bagilah laptop masalah tetap selesai talian internet pedalaman disediakan pencawang komunikasi disediakan,NonCyberbully
207,aduh terlalu memilih ka,NonCyberbully
208,terlalu dini anda mngatakan anak bodoh krn daring prokes ketat,Cyberbully
209,suka betul main hati perasaan too old for this sigh,NonCyberbully
210,kecepetan,NonCyberbully
211,betul soo min chan try hard rasa menyampah tengok hahah,NonCyberbully
212,nama lg mb kuasa besar bulih nk halang nk rampas mawar pn bolih,NonCyberbully
213,toxic relationship and suami dayus jahat ye sbb dibolehkan penceraian nasib wanit,NonCyberbully
214,pas dap rosak kan alam,Cyberbully
215,syak menteri besar kedah bangang kantoi jenguk raptor tempoh hari serious question datang rmbillion st q kedah,NonCyberbully
216,uwaaaa sempat bawak iris pi,NonCyberbully
217,sad selangor,NonCyberbully
218,kesian kawan hidup tenang camera,NonCyberbully
219,bising isu ye dok,NonCyberbully
220,bz tweet smpi call x angkat,Cyberbully
221,semak otak sekejap,NonCyberbully
222,azmin ali sign the petition via,NonCyberbully
223,last yr dok area bukit jalil mudah meet frenz n buddy now jauh kat kuala selangor sukar sikut tambah,NonCyberbully
224,omg sedar diri kutuk pakai proton waja cps pakai wv golf gti takpalah at least t,Cyberbully
225,bersyukur alhamdulillah sihat walafiat but never exist,NonCyberbully
226,sabar kak dunia kejam,NonCyberbully
227,marek kede sik bukak rtok xpat pay grab pay rezeki,NonCyberbully
228,akhir akhir marah marah dijalan,NonCyberbully
229,stubborn af bawa tengah jalan ingat jalan kau punya bab,Cyberbully
230,kes apeni,NonCyberbully
231,sakitnya hati anak sibuk buat mental awareness if im not mistaken benda macam tutup mata urgh,NonCyberbully
232,punya burnout meeting zoom pagi tadi pon terlepas haish,NonCyberbully
233,terover working out sakit gila badan hari,NonCyberbully
234,malaysia x reti nk jaga sejarah menteri pon x leh pakai,Cyberbully
235,del satu satunya sekolah unggulan sumut yayasan soposurung balige matauli tapanuli tengah ct foundation deli serdang binaan tokoh asal sumut level nasional melakukan utk kampungnya,NonCyberbully
236,apps mabuk my mom punya vaccine appointment hri ckp hb pastu tiba update hb pulak pusat,NonCyberbully
237,terprovokasi isu pembatalan haji,NonCyberbully
238,salah miri,Cyberbully
239,abang ipar beritahu mostly tempat hiking area sandakan nda okay lama terbiar haritu histeria kunuk,NonCyberbully
240,malaysia tempat sumber kewangan cakap tapak warisan diiktiraf unesco jalan,Cyberbully
241,benda lahanat macam claim,Cyberbully
242,pahang batalkan wkwkwk harapan sikit haribulan satu pahang kena banjir,NonCyberbully
243,ehh takdee salah kena marah jugak,NonCyberbully
244,mulia pipit kerja jalan helang kuat gebang,Cyberbully
245,hahaha tp tangan berenti sat kelai menyebai pon,Cyberbully
246,bahaya data bocor ramai kianat,Cyberbully
247,nampak penipu org muar tau masa men,NonCyberbully
248,beza tambak gondol hutan,NonCyberbully
249,tiba teringat perut masak lemak omaigoddddd,NonCyberbully
250,keren,NonCyberbully
251,me pening sop tuko kali korang kenapa ek,NonCyberbully
252,any ngo buat crowdfunding menteri kesian gaji kena potong kena makan maggi,NonCyberbully
253,wtf china tuntut kawasan jauh km wilayah kau jgn main china kawasan s,NonCyberbully
254,kan ownernya gimana sik,NonCyberbully
255,aik kerajaan negeri yng decided federal salah benak otak kau,Cyberbully
256,haih teringat cerita lama tetiba,NonCyberbully
257,turn pulak hari hari check appointment datang a,NonCyberbully
258,beli rentas kawasan so buat lahhhh,Cyberbully
259,jam kerja ngechat larut malem apalagi kalo buat kepentingan mendadak,Cyberbully
260,noh dibaca baik biar gak gampang terprovokasi dana haji aman,NonCyberbully
261,leh imejin aja ga sik,NonCyberbully
262,wei lama gak menghadap singki dapur tersumbat n meleleh dekat,NonCyberbully
263,ktk sik tidur kah hahahahahha aneh,NonCyberbully
264,lockdown buatkan my gb internet habis a week awal,NonCyberbully
265,dana haji aman dikelola badan independen terpengaruh berita hoaks,NonCyberbully
266,hari hari update vaksin kj rezeki ambil awal,NonCyberbully
267,awas lu yeee,NonCyberbully
268,cepatnya masa berlalu harap covid cepat berlalu,NonCyberbully
269,mun abang jo sik molah pkp nang teruk gik tok huhuhu,NonCyberbully
270,gigih baca sabar kena cucukx sedar nbo kali,NonCyberbully
271,goreng ayam pon hangit nasib rentung ralit,NonCyberbully
272,otak jammed gak masa wangsa maju train lama lrt last last kena tipuuuu,NonCyberbully
273,benda simple weh turun padang payah escort bagai kat kampung muar ss betul buat kerja idok,Cyberbully
274,sop jagalah jaga sop mcmna bendung wabak pandemik sah sah ikut sop jarak sadis,Cyberbully
275,masa laa angin sikit ds anwar kat ydpa masa jumpa nanti lupa promote sekali ganti ts,NonCyberbully
276,jugak kena macam dekat federal highway lepas tol batu tiga nasib jatuh,NonCyberbully
277,lagila menyesal jugala tengok end up sakit hati hahahha,NonCyberbully
278,org stres weyy majlis etc x lwh buat cuz my part time is catering,Cyberbully
279,punca betul tasik chini haihh dak takyah buat perkataan essay,Cyberbully
280,dua hari cari installer crack jumpa weiiiii,NonCyberbully
281,kimak rate star delivery laju barang unbox check quality,NonCyberbully
282,walaun kesah mb betul kome jgn fitnah,Cyberbully
283,alasan gaknak vaksin jom pakat ambil vaksin,NonCyberbully
284,kebetulan hari pekerjaan sebentar selesai suka mendongeng baga,NonCyberbully
285,sungai kelantan best air teh,Cyberbully
286,penyebaran maklumat palsu pejabat residen miri berita penuh,NonCyberbully
287,udang balik batu,NonCyberbully
288,kira lelaki perempuan peribadi karakter menentukan jodoh soal jodoh ajal amp jodoh ad,Cyberbully
289,takkk asal jawab hatii,NonCyberbully
290,pelancaran main setakat negeri semenanjung catat pendaftaran vaksin terendah kelantan terengganu gagal,NonCyberbully
291,lepastu harap customer behaviour mental,NonCyberbully
292,kenapa pulak mamat haha xsetuju xperlu plot twist lagu terlebih hor,NonCyberbully
293,daerah says pitas macam potong q lhhh my uncle kli pegi vaksin ikut jadual d tetapkn slalu kh,NonCyberbully
294,punya tkda live duk rumah hari buat bnda tengok bnda,NonCyberbully
295,lama makan burger ramli bawang sekali sobs,Cyberbully
296,diamm kat raub soopong,NonCyberbully
297,denganmu air mataaa tawa suka ria,NonCyberbully
298,padu ahh alin dok bebel bebel kat twitter nyembang emma sekali kelas hbis tnya dr soalan perghhh multitasking hahahahaha,NonCyberbully
299,kilang tiba tiba terpaling essential acano,NonCyberbully
300,kann hari buat marah geram betul,NonCyberbully
301,takyah berangan hahahah,NonCyberbully
302,tersepit kadang kadang tau marah sapa tukar kerajaan sakit hati menteri buat kerja t,Cyberbully
303,exam menda plak tengah malam oiiii,NonCyberbully
304,kau pling acah kau tau acah budakk debatee,Cyberbully
305,kesiannya,NonCyberbully
306,korang percaya mamat takkan ckp macam dekat lebai pas kat kelantan,NonCyberbully
307,so mananya penghulu ketua kampung katanya buat report mingguan,NonCyberbully
308,satu jenis bingai,NonCyberbully
309,marah diri,NonCyberbully
310,sik kenak layan,NonCyberbully
311,undi pemude,NonCyberbully
312,bapak sikit,NonCyberbully
313,hyunsik anak penyanyi lawas terkenal foto masa kecilnya disangka foto r buat jago bik,NonCyberbully
314,kuat maki haaaaaa da hahaaah,NonCyberbully
315,anjir ga terlalu suka siwonhan baram baram baram t t,NonCyberbully
316,macam haram tek silicon haha,Cyberbully
317,meh bayangke sik,NonCyberbully
318,sexuality only wa kota batu sekitarnya,NonCyberbully
319,takut kena kecam,NonCyberbully
320,salah kerajaan my ass,Cyberbully
321,lempar batu,NonCyberbully
322,sedih gilak eh sik tauk rasa gik tok sumpah sakit,NonCyberbully
323,kenapa bank islam malam eh geramnya buat transaksi heii,NonCyberbully
324,gila babi eh mb kedah menteri macam berani buat macam fikir rakyat buat,Cyberbully
325,jelas die xtau hukum thats it,NonCyberbully
326,kannn kang jawab kl kena halau kelantan kena halau pastu benda sesimple ig bawa twitter wtf,NonCyberbully
327,team kroni,NonCyberbully
328,mena sik kau tek,Cyberbully
329,nasib baik ss harapkan sibuk main ig sembang pung pang gangster hmm haram jadah,NonCyberbully
330,yes maquia hati batu menangis,NonCyberbully
331,mengalaminya tahun silam aja berita ttg pelecehan merasa sedih marah kal,NonCyberbully
332,jijik,NonCyberbully
333,alah kes harian macam menurun macam bodoh buat pkp turun turun bangang punya kerajaan,Cyberbully
334,wtf takutnya polis muda,NonCyberbully
335,so saman,NonCyberbully
336,jeng palo,NonCyberbully
337,hahahahahaahahahshah dulu pasal intern hari bincang,NonCyberbully
338,aduh anak lanang,NonCyberbully
339,simpan buat main liga penalti,NonCyberbully
340,yeeeeeee sakit hati pulak tengok part haha,NonCyberbully
341,jeli,NonCyberbully
342,halus punya racun,NonCyberbully
343,yela ibu,NonCyberbully
344,kt johor tkde,NonCyberbully
345,kelantan terbaik negeri pelbagai makanan unik,NonCyberbully
346,euuww,NonCyberbully
347,hahahhahahaha perasaan gw block ternyata cuma,NonCyberbully
348,kenyal dulu nih kalo jeli mah hancur mending karet,NonCyberbully
349,geng umno mula bash pn neflix ka tgv harap geng ph terjebat lakonan drama pukul y,NonCyberbully
350,lets say one day org kelaka burok pasal sik kawan back up oh just wonder,NonCyberbully
351,dasar hater,Cyberbully
352,biasa berbeda baru luar biasa,NonCyberbully
353,apel pagi personil sat lantas polres serdang bedagai,NonCyberbully
354,stop telling me to do onlyfans selfie maleh pulak buat content onlyfans,NonCyberbully
355,all out lakonan kesian lijah gila,NonCyberbully
356,line d rumah tok mintak terajang sikit,NonCyberbully
357,give more minutes to giroud score main tula tuchel sayang anak german hm,NonCyberbully
358,the bera scum still think multi yera bera noa waya,NonCyberbully
359,letak gam macam,NonCyberbully
360,org percaya mamat,NonCyberbully
361,mencari relevan psa,NonCyberbully
362,hb nyah,NonCyberbully
